fold,acc,f1,auc_roc,auc_pr,precision,recall,specificity
1,0.6486,0.5517,0.7281,0.7654,0.8,0.4211,0.8889
2,0.5946,0.6512,0.7164,0.7576,0.5833,0.7368,0.4444
3,0.5405,0.4138,0.6345,0.6369,0.5455,0.3333,0.7368
4,0.6486,0.6977,0.5585,0.5438,0.6,0.8333,0.4737
5,0.5556,0.5789,0.5802,0.5679,0.55,0.6111,0.5
mean,0.5976,0.5787,0.6435,0.6544,0.6158,0.5871,0.6088
std,0.0453,0.0973,0.069,0.0927,0.0944,0.1874,0.1743
