fold,acc,f1,auc_roc,auc_pr,precision,recall,specificity
1,0.8814,0.9041,0.8993,0.8827,0.9167,0.8919,0.8636
2,0.9153,0.9333,0.9386,0.9397,0.9211,0.9459,0.8636
3,0.8983,0.9167,0.957,0.9759,0.9429,0.8919,0.9091
4,0.9153,0.9351,0.9496,0.9633,0.9,0.973,0.8182
5,0.8621,0.8947,0.904,0.9355,0.85,0.9444,0.7273
mean,0.8944,0.9168,0.9297,0.9394,0.9061,0.9294,0.8364
std,0.0205,0.0158,0.0237,0.032,0.0312,0.0323,0.0617
