fold,acc,f1,auc_roc,auc_pr,precision,recall,specificity
1,0.5946,0.5455,0.652,0.7155,0.6429,0.4737,0.7222
2,0.5676,0.5556,0.6404,0.6687,0.5882,0.5263,0.6111
3,0.4865,0.6545,0.693,0.7026,0.4865,1.0,0.0
4,0.7027,0.7027,0.6842,0.6399,0.6842,0.7222,0.6842
5,0.5833,0.4828,0.6265,0.695,0.6364,0.3889,0.7778
mean,0.5869,0.5882,0.6592,0.6844,0.6076,0.6222,0.5591
std,0.0692,0.0794,0.0255,0.027,0.0678,0.2184,0.2847
