fold,acc,f1,auc_roc,auc_pr,precision,recall,specificity
1,0.7458,0.8052,0.7457,0.8318,0.775,0.8378,0.5909
2,0.7119,0.7671,0.7813,0.8389,0.7778,0.7568,0.6364
3,0.6949,0.7805,0.8256,0.8866,0.7111,0.8649,0.4091
4,0.7119,0.7463,0.8735,0.9237,0.8333,0.6757,0.7727
5,0.6034,0.6849,0.6705,0.7971,0.6757,0.6944,0.4545
mean,0.6936,0.7568,0.7793,0.8556,0.7546,0.7659,0.5727
std,0.048,0.0407,0.0693,0.0444,0.0553,0.0752,0.1305
