fold,acc,f1,auc_roc,auc_pr,precision,recall,specificity
1,0.8475,0.8831,0.8489,0.8796,0.85,0.9189,0.7273
2,0.661,0.7059,0.774,0.8469,0.7742,0.6486,0.6818
3,0.678,0.6984,0.8059,0.852,0.8462,0.5946,0.8182
4,0.6441,0.6866,0.7629,0.8494,0.7667,0.6216,0.6818
5,0.6379,0.7529,0.6932,0.8016,0.6531,0.8889,0.2273
mean,0.6937,0.7454,0.777,0.8459,0.778,0.7345,0.6273
std,0.0781,0.0725,0.0515,0.0251,0.0715,0.1397,0.2061
