fold,acc,f1,auc_roc,auc_pr,precision,recall,specificity
1,0.9189,0.9143,0.9561,0.9704,1.0,0.8421,1.0
2,0.5946,0.3478,0.8392,0.8519,1.0,0.2105,1.0
3,0.8649,0.8649,0.883,0.8981,0.8421,0.8889,0.8421
4,0.7568,0.7568,0.8012,0.8312,0.7368,0.7778,0.7368
5,0.6667,0.625,0.7593,0.8144,0.7143,0.5556,0.7778
mean,0.7604,0.7017,0.8478,0.8732,0.8586,0.655,0.8713
std,0.1203,0.203,0.0679,0.0561,0.1232,0.2499,0.1103
