fold,acc,f1,auc_roc,auc_pr,precision,recall,specificity
1,0.7458,0.7945,0.801,0.8105,0.8056,0.7838,0.6818
2,0.8136,0.8571,0.8477,0.8919,0.825,0.8919,0.6818
3,0.7288,0.7647,0.8108,0.8913,0.8387,0.7027,0.7727
4,0.8305,0.8611,0.8686,0.9159,0.8857,0.8378,0.8182
5,0.6724,0.7865,0.7121,0.8081,0.6604,0.9722,0.1818
mean,0.7582,0.8128,0.808,0.8635,0.8031,0.8377,0.6273
std,0.0577,0.0391,0.0538,0.0452,0.0761,0.0918,0.2289
