fold,acc,f1,auc_roc,auc_pr,precision,recall,specificity
1,0.9831,0.9863,1.0,1.0,1.0,0.973,1.0
2,0.9831,0.9867,0.9988,0.9993,0.9737,1.0,0.9545
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.9322,0.9487,0.9926,0.9954,0.9024,1.0,0.8182
5,0.9655,0.9722,0.9949,0.997,0.9722,0.9722,0.9545
mean,0.9728,0.9788,0.9973,0.9983,0.9697,0.989,0.9455
std,0.023,0.0174,0.003,0.0018,0.0357,0.0134,0.0668
