fold,acc,f1,auc_roc,auc_pr,precision,recall,specificity
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.9831,0.9867,0.9975,0.9986,0.9737,1.0,0.9545
3,0.9831,0.9863,1.0,1.0,1.0,0.973,1.0
4,0.9322,0.9487,0.9951,0.997,0.9024,1.0,0.8182
5,0.9655,0.9722,0.9848,0.99,0.9722,0.9722,0.9545
mean,0.9728,0.9788,0.9955,0.9971,0.9697,0.989,0.9455
std,0.023,0.0174,0.0056,0.0037,0.0357,0.0134,0.0668
