fold,acc,f1,auc_roc,auc_pr,precision,recall,specificity
1,0.7838,0.7778,0.8158,0.8224,0.8235,0.7368,0.8333
2,0.6486,0.6829,0.8363,0.8794,0.6364,0.7368,0.5556
3,0.5405,0.1053,0.7749,0.783,1.0,0.0556,1.0
4,0.6757,0.7391,0.5994,0.6251,0.6071,0.9444,0.4211
5,0.5556,0.4286,0.5463,0.6231,0.6,0.3333,0.7778
mean,0.6408,0.5467,0.7145,0.7466,0.7334,0.5614,0.7175
std,0.0884,0.2521,0.1185,0.1046,0.1564,0.3213,0.2054
