fold,acc,f1,auc_roc,auc_pr,precision,recall,specificity
1,0.8378,0.8333,0.9094,0.9378,0.8824,0.7895,0.8889
2,0.8108,0.8,0.9006,0.9288,0.875,0.7368,0.8889
3,0.8378,0.8235,0.8684,0.8933,0.875,0.7778,0.8947
4,0.7838,0.7895,0.7778,0.7909,0.75,0.8333,0.7368
5,0.6111,0.5,0.7685,0.8025,0.7,0.3889,0.8333
mean,0.7763,0.7493,0.8449,0.8707,0.8165,0.7053,0.8485
std,0.085,0.1256,0.0602,0.0623,0.0764,0.1611,0.0602
