fold,acc,f1,auc_roc,auc_pr,precision,recall,specificity
1,0.8649,0.8649,0.886,0.9289,0.8889,0.8421,0.8889
2,0.6216,0.65,0.6579,0.7,0.619,0.6842,0.5556
3,0.7838,0.7778,0.8889,0.9054,0.7778,0.7778,0.7895
4,0.7297,0.7059,0.7281,0.7194,0.75,0.6667,0.7895
5,0.5278,0.3704,0.6019,0.6605,0.5556,0.2778,0.7778
mean,0.7056,0.6738,0.7525,0.7828,0.7183,0.6497,0.7602
std,0.1189,0.1679,0.1172,0.1115,0.1183,0.1966,0.11
